 Epoch: 0000;precision@5= 0.3441,precision@10= 0.2889,recall@5= 0.1138,recall@10= 0.1810,map= 0.2222,mrr= 0.5735
 Epoch: 0001;precision@5= 0.3575,precision@10= 0.2990,recall@5= 0.1225,recall@10= 0.1936,map= 0.2400,mrr= 0.6055
 Epoch: 0002;precision@5= 0.3600,precision@10= 0.3067,recall@5= 0.1235,recall@10= 0.1975,map= 0.2452,mrr= 0.6149
 Epoch: 0003;precision@5= 0.3768,precision@10= 0.3163,recall@5= 0.1256,recall@10= 0.2000,map= 0.2494,mrr= 0.6243
 Epoch: 0004;precision@5= 0.3732,precision@10= 0.3162,recall@5= 0.1281,recall@10= 0.2029,map= 0.2539,mrr= 0.6260
 Epoch: 0000;precision@5= 0.3435,precision@10= 0.2912,recall@5= 0.1105,recall@10= 0.1799,map= 0.2224,mrr= 0.5740
 Epoch: 0001;precision@5= 0.3580,precision@10= 0.3003,recall@5= 0.1230,recall@10= 0.1944,map= 0.2401,mrr= 0.6123
 Epoch: 0002;precision@5= 0.3516,precision@10= 0.3016,recall@5= 0.1179,recall@10= 0.1907,map= 0.2381,mrr= 0.5888
 Epoch: 0000;precision@5= 0.3395,precision@10= 0.2860,recall@5= 0.1145,recall@10= 0.1826,map= 0.2282,mrr= 0.5749
 Epoch: 0001;precision@5= 0.3607,precision@10= 0.3067,recall@5= 0.1214,recall@10= 0.1964,map= 0.2434,mrr= 0.6019
 Epoch: 0002;precision@5= 0.3760,precision@10= 0.3188,recall@5= 0.1262,recall@10= 0.2039,map= 0.2514,mrr= 0.6049
 Epoch: 0003;precision@5= 0.3847,precision@10= 0.3195,recall@5= 0.1314,recall@10= 0.2036,map= 0.2599,mrr= 0.6386
 Epoch: 0004;precision@5= 0.3777,precision@10= 0.3203,recall@5= 0.1274,recall@10= 0.2040,map= 0.2581,mrr= 0.6385
 Epoch: 0000;precision@5= 0.3423,precision@10= 0.2901,recall@5= 0.1161,recall@10= 0.1849,map= 0.2310,mrr= 0.5953
 Epoch: 0001;precision@5= 0.3546,precision@10= 0.2999,recall@5= 0.1252,recall@10= 0.2004,map= 0.2422,mrr= 0.5984
 Epoch: 0002;precision@5= 0.3686,precision@10= 0.3077,recall@5= 0.1297,recall@10= 0.2039,map= 0.2463,mrr= 0.6197
 Epoch: 0003;precision@5= 0.3754,precision@10= 0.3205,recall@5= 0.1253,recall@10= 0.2066,map= 0.2514,mrr= 0.6170
 Epoch: 0004;precision@5= 0.3851,precision@10= 0.3239,recall@5= 0.1354,recall@10= 0.2138,map= 0.2589,mrr= 0.6208
 Epoch: 0000;precision@5= 0.3255,precision@10= 0.2793,recall@5= 0.1054,recall@10= 0.1761,map= 0.2154,mrr= 0.5496
 Epoch: 0001;precision@5= 0.3514,precision@10= 0.2955,recall@5= 0.1164,recall@10= 0.1845,map= 0.2304,mrr= 0.5866
 Epoch: 0002;precision@5= 0.3561,precision@10= 0.2975,recall@5= 0.1182,recall@10= 0.1859,map= 0.2346,mrr= 0.5916
 Epoch: 0003;precision@5= 0.3548,precision@10= 0.3081,recall@5= 0.1148,recall@10= 0.1929,map= 0.2369,mrr= 0.5967
 Epoch: 0004;precision@5= 0.3605,precision@10= 0.3031,recall@5= 0.1191,recall@10= 0.1891,map= 0.2368,mrr= 0.5981
 Epoch: 0000;precision@5= 0.3332,precision@10= 0.2866,recall@5= 0.1101,recall@10= 0.1795,map= 0.2166,mrr= 0.5751
 Epoch: 0001;precision@5= 0.3470,precision@10= 0.2923,recall@5= 0.1133,recall@10= 0.1868,map= 0.2269,mrr= 0.5801
 Epoch: 0002;precision@5= 0.3480,precision@10= 0.2980,recall@5= 0.1121,recall@10= 0.1865,map= 0.2321,mrr= 0.5940
 Epoch: 0003;precision@5= 0.3457,precision@10= 0.2936,recall@5= 0.1132,recall@10= 0.1879,map= 0.2320,mrr= 0.5933
 Epoch: 0004;precision@5= 0.3629,precision@10= 0.3043,recall@5= 0.1171,recall@10= 0.1899,map= 0.2416,mrr= 0.6136
 Epoch: 0000;precision@5= 0.3342,precision@10= 0.2833,recall@5= 0.1125,recall@10= 0.1829,map= 0.2179,mrr= 0.5614
 Epoch: 0001;precision@5= 0.3395,precision@10= 0.2901,recall@5= 0.1150,recall@10= 0.1848,map= 0.2308,mrr= 0.5920
 Epoch: 0002;precision@5= 0.3372,precision@10= 0.2883,recall@5= 0.1127,recall@10= 0.1857,map= 0.2284,mrr= 0.5828
 Epoch: 0003;precision@5= 0.3544,precision@10= 0.3002,recall@5= 0.1205,recall@10= 0.1901,map= 0.2384,mrr= 0.5891
 Epoch: 0004;precision@5= 0.3529,precision@10= 0.3015,recall@5= 0.1182,recall@10= 0.1924,map= 0.2403,mrr= 0.6007
